"density","level"
"1682409.2661985315",4
"2443873.9521124144",4
"111603.17795129829",4
"158347.24744802614",4
"280215.24535595207",4
"355537.2415414651",4
"125179.69460451763",4
"256982.880523406",4
"280565.6760528263",4
"675664.165459323",4
"2401279.6266446956",4
"298705.4877376083",4
"2264392.710388758",4
"158981.28011646934",4
"346737.5726577051",4
"333773.06244732713",4
"297729.5621184591",4
"220951.4689330944",4
"313386.0548331973",4
"353393.56291704735",4
"90374.8552636114",4
"123950.27285018048",4
"313818.92267019144",4
"73517.40319681446",4
"59882.44040249698",4
"312493.58069717314",4
"439709.4642934032",4
"763494.8743811279",4
"210897.13235836354",4
"1575632.6815709057",4
"72256.4771639286",4
"96581.65512128468",4
"74377.793019889",4
"278972.7932190554",4
"154885.9243370987",4
"121929.60634019384",4
"309214.5630270745",4
"374586.33943572093",4
"274091.3652642431",4
"181633.58811173646",4
"652635.8518425861",4
"676197.6140788014",4
"100581.85191877419",4
"84213.10767827515",4
"175036.1262851418",4
"88685.62974274214",4
"355833.4144272798",4
"197070.28531066712",4
"1980409.2542521062",4
"179241.0988594459",4
"7557892.769053625",4
"629849.3099441887",4
"512409.50527371693",4
"170119.12051002498",4
"190151.16402480085",4
"95582.74499545978",4
"191108.35463618307",4
"213548.2109990258",4
"210855.96874956076",4
"130715.19173948023",4
"155379.10366883726",4
"1310173.655695615",4
"356910.69637266273",4
"2127954.109269797",4
"96699.10266210519",4
"373605.94102698984",4
"510610.31410184567",4
"1944205.902600192",4
"146770.82777060167",4
"978941.7343725157",4
"1350895.6964773256",4
"320189.0409098141",4
"395829.9796788071",4
"121880.57230430754",4
"138140.258915632",4
"65488.320554783786",4
"439136.8322935754",4
"804580.8478634085",4
"127372.40803188752",4
"215601.53483101912",4
"1008379.9818375944",4
"336693.13635536673",4
"57913.069208059365",4
"121126.04399982646",4
"430617.3578184188",4
"95372.00653253218",4
"629538.0004023619",4
"45186027.94965272",4
"3337677.551148347",4
"3956842.224017624",4
"96249.97448040955",4
"103327.800970143",4
"126302.99729855532",4
"413209.2258738212",4
"932978.2566616193",4
"168992.74627710413",4
"495704.7458074903",4
"89893.58212908586",4
"139830.05365638732",4
"535503.2654477856",4
"1029326.6094284726",4
"274915.52069424256",4
"142711999.16568702",4
"233061.53331594696",4
"157171.28814997335",4
"627625.8297385712",4
"379074.5250101775",4
"11428819.513569701",4
"547789.6611668553",4
"297052.97448659805",4
"555347.5974618902",4
"224275.56964847597",4
"163953.41100761198",4
"517337.66414923995",4
"75722.48332718704",4
"191719.54807857552",4
"145987.8701261997",4
"73077.8353820967",4
"270941.8903575084",4
"358891.1131164635",4
"711736.1550512795",4
"60200.52477782345",4
"115408.2676979963",4
"537977.8683923072",4
"100890.90452619448",4
"595077.4283101512",4
"1952662.80727755",4
"108114.15270343018",4
"164763.8161831978",4
"179078.5843248135",4
"319492.63485217583",4
"166812.56542490335",4
"124812.45227788587",4
"184386.6581805636",4
"189037.13034397663",4
"368337.6959704698",4
"154990.5474754939",4
"467295.4541974766",4
"215615.81865318143",4
"166960.91704165103",4
"69312.4395423115",4
"1429455.331785466",4
"1602574.6340429469",4
"114493.68136075375",4
"975612.9449804256",4
"732294.9931951013",4
"184220.90811282152",4
"673839.0482931195",4
"214620.4263849865",4
"773278.2115468215",4
"431711.3679113033",4
"76804.54706529409",4
"192613.77618528047",4
"323199.72030170547",4
"265994.3072315213",4
"139829.02961214373",4
"713157.6515871696",4
"265923.4676101343",4
"492745.79516198946",4
"386484.3966759584",4
"373605.94102698984",4
"142693.15678040983",4
"276609.2799956643",4
"3037900.866023647",4
"167652.44947299664",4
"77186.05836048802",4
"1350895.6964773256",4
"90787.50260434557",4
"199542.0820302175",4
"94004.39515059616",4
"138140.258915632",4
"675935.7084046478",4
"303798.52322624455",4
"663712.5363099831",4
"134299.78006723183",4
"316256.8485598412",4
"230225.92827712934",4
"1249973.094423465",4
"635430.2758433712",4
"1188271.7101847245",4
"758633.3962725383",4
"95372.00653253218",4
"88252.5933154329",4
"105204.23605202885",4
"83906.52549436536",4
"215881.95358835228",4
"293024.48639773554",4
"104659.32475122661",4
"180118.53395278193",4
"141545.26568244287",4
"168992.74627710413",4
"89893.58212908586",4
"686628.3505056726",4
"203606.06666970623",4
"113059.15309127556",4
"608724.491999792",4
"679157.3622931974",4
"210390.60803588407",4
"646797.2277165953",4
"224590.52247879826",4
"379537.69175091456",4
"140033.57232903637",4
"186118.15785879418",4
"409657.04598057567",4
"97136.05119031717",4
"315581.15767376893",4
"171442.96096406077",4
"108016.40323419192",4
"194023.5946263965",4
"171629.75934905856",4
"105391.42232248708",4
"115303.2177178652",4
"226101.41601395147",4
"360069.15642845596",4
"478443.09124949266",4
"94363.55474380337",4
"1166318.0532882733",4
"119539.38371463948",4
"283855.10528040736",4
"285145.9726471959",4
"67708.55806341763",4
"1691620.4914627878",4
"477232.05834289925",4
"254906.49129877074",4
"1385091.5245179636",4
"33036.36230262376",4
"35611.16012332259",4
"72850.5467429825",4
"860644.7838088152",4
"39273.71732493907",4
"26414.50409652351",4
"26666.666666413017",4
"29411.28803965103",4
"43605.362574095154",4
"146092.71526810274",4
"59825.258833921565",4
"26425.14902348704",4
"26666.666666097222",4
"30153.69624306996",4
"315727.4178213656",4
"39845.879582909656",4
"28481.784932925035",4
"42887.77302912709",4
"141681.50822917782",4
"43418.55988828731",4
"121005.97837594258",4
"97685.09981867395",4
"360756.93970435235",4
"40062.773349132956",4
"35078.952201757405",4
"292538.1094890573",4
"286310.39387652476",4
"27986.364351957185",4
"27551.855646478387",4
"1294889.4516868575",4
"57075.88668182318",4
"26666.666667676207",4
"30933.84978771377",4
"32598.57872260711",4
"26666.666666413017",4
"36089.38940594826",4
"151389.30715696517",4
"26477.35774635589",4
"26666.666667676207",4
"45516.46590915547",4
"52978.55417734673",4
"26666.666666097222",4
"26666.666666413017",4
"74787.33098204246",4
"35238.64675758976",4
"26666.666666097222",4
"27501.97980991171",4
"382916.3786507409",4
"846982.0697722323",4
"28234.630140196776",4
"26666.66666736041",4
"34120.549171638406",4
"90873.47037215228",4
"26666.666666097222",4
"26666.666666097222",4
"50121.54113877535",4
"43341.87079396878",4
"26666.666666097222",4
"26490.860574733597",4
"136297.2999726876",4
"31937.58534191179",4
"26666.66666736041",4
"30318.31879832383",4
"197197.05686703036",4
"26739.167183238143",4
"26666.666666097222",4
"39154.42717413079",4
"53667.26176759605",4
"26666.666666413017",4
"26666.666666097222",4
"50907.0058777184",4
"33212.30772800544",4
"26666.666667676207",4
"26666.66666736041",4
"80687.23040589948",4
"603706.5885520428",4
"27509.97806122146",4
"26666.666666413017",4
"26554.5689429263",4
"240638.42442846045",4
"96446.5197895012",4
"26666.666666097222",4
"26666.666666413017",4
"26751.387412162025",4
"106683.81302218194",4
"57376.36659028261",4
"26666.66666736041",4
"26666.666667676207",4
"26483.094753355315",4
"128899.34713897761",4
"62009.13689396448",4
"26666.666666097222",4
"26666.666666413017",4
"30628.166516684745",4
"94336.12467106985",4
"40238.47027344784",4
"27732.001310578456",4
"41492.47566935827",4
"113958.57931699792",4
"237788.25920279583",4
"70407.65414800406",4
"58728.20685618341",4
"1287888.9431604773",4
"37106.95069501461",4
"26564.050169999307",4
"26666.666667676207",4
"26517.83941003399",4
"100526.25640301549",4
"48683.95086127961",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"53919.11332158103",4
"65846.46938841575",4
"26412.536609044768",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"32421.714471892792",4
"179078.5843248135",4
"54441.22975416698",4
"143218.66203329453",4
"80200.2740069969",4
"26984.055624280198",4
"26666.666667676207",4
"26666.66666736041",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"41747.44821249675",4
"4649421.9672459755",4
"75762.79585520797",4
"45507.374413287514",4
"32416.891742659824",4
"26729.23949072709",4
"26666.666666413017",4
"27993.7704306539",4
"42580.02798482948",4
"92143.18630535355",4
"87830.81835135331",4
"83064.94117840819",4
"78872.18087962539",4
"75155.02120651134",4
"71836.88181496576",4
"71784.05900147746",4
"28376.60192353017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"27902.140979853517",4
"44159.6763893203",4
"393607.5708521128",4
"32287.944482914227",4
"129988.94599303481",4
"53403.16536259556",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"27839.9613409788",4
"265576.7581073198",4
"31407.59269535952",4
"44651.4676399465",4
"40288.13224249654",4
"26666.666667676207",4
"26666.66666736041",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"55686.72247864556",4
"47164.38340930681",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"34154.219425252224",4
"58613.43088523797",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"27342.84602712904",4
"27522.589432521512",4
"26881.604011903957",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"82168.03447581442",4
"235648.53617842236",4
"319492.63485217583",4
"29007.325448881915",4
"43474.73735159094",4
"50190.999366701835",4
"26746.943604019645",4
"26666.66666736041",4
"30120.56378841412",4
"29438.874700450157",4
"26911.24407366502",4
"103954.53647236657",4
"508262.3730225903",4
"120329.70559965173",4
"63569.38138765718",4
"34496.78462693485",4
"26448.667821623152",4
"26666.666667676207",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"26666.666667676207",4
"26666.66666736041",4
"34103.123422977325",4
"32410.2376858295",4
"393400.8704803631",4
"123800.85869907415",4
"26593.80235193158",4
"26666.666666097222",4
"35288.559540899536",4
"248401.3237534952",4
"95503.48991470815",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666097222",4
"26666.666666413017",4
"26666.666666097222",4
"26666.666666413017",4
"26579.44808828926",4
"30451.488168261927",4
"47674.86366509471",4
"1269642.3065112028",4
"481345.4686638317",4
"57304.61071561963",4
"71484.4221698014",4
"61064.30223203733",4
"28651.930709541855",4
"38169.52754978983",4
